"id","municipality_name","entitled_to_vote","votes_cast","turnout","valid_votes","yes","no","yes_percentage"
75601010001,"Aeugst am Albis",1374,861,62.7,854,415,439,48.6
75601010002,"Affoltern am Albis",7008,3814,54.4,3783,1947,1836,51.5
75601010003,"Bonstetten",3570,2283,63.9,2264,1135,1129,50.1
75601010004,"Hausen am Albis",2407,1492,62,1478,699,779,47.3
75601010005,"Hedingen",2449,1609,65.7,1594,732,862,45.9
75601010006,"Kappel am Albis",659,408,61.9,402,234,168,58.2
75601010007,"Knonau",1333,821,61.6,812,429,383,52.8
75601010008,"Maschwanden",465,277,59.6,276,147,129,53.3
75601010009,"Mettmenstetten",3085,1975,64,1955,993,962,50.8
75601010010,"Obfelden",3147,1884,59.9,1870,1047,823,56
75601010011,"Ottenbach",1830,1202,65.7,1193,605,588,50.7
75601010012,"Rifferswil",698,466,66.8,465,213,252,45.8
75601010013,"Stallikon",2267,1479,65.2,1465,795,670,54.3
75601010014,"Wettswil am Albis",3250,2137,65.8,2125,1012,1113,47.6
75601020021,"Adlikon",448,306,68.3,301,217,84,72.1
75601020022,"Benken (ZH)",613,387,63.1,387,233,154,60.2
75601020023,"Berg am Irchel",460,337,73.3,336,216,120,64.3
75601020024,"Buch am Irchel",664,428,64.5,425,272,153,64
75601020025,"Dachsen",1317,877,66.6,867,451,416,52
75601020026,"Dorf",461,313,67.9,310,217,93,70
75601020027,"Feuerthalen",2221,1230,55.4,1211,698,513,57.6
75601020028,"Flaach",946,604,63.8,597,398,199,66.7
75601020029,"Flurlingen",982,659,67.1,651,314,337,48.2
75601020030,"Andelfingen",1478,997,67.5,984,503,481,51.1
75601020031,"Henggart",1579,1015,64.3,1009,564,445,55.9
75601020032,"Humlikon",362,249,68.8,249,155,94,62.2
75601020033,"Kleinandelfingen",1442,892,61.9,885,526,359,59.4
75601020034,"Laufen-Uhwiesen",1175,732,62.3,724,413,311,57
75601020035,"Marthalen",1466,943,64.3,935,599,336,64.1
75601020036,"Oberstammheim",892,564,63.2,560,312,248,55.7
75601020037,"Ossingen",986,604,61.3,596,343,253,57.6
75601020038,"Rheinau",915,597,65.2,588,282,306,48
75601020039,"Thalheim an der Thur",652,383,58.7,381,261,120,68.5
75601020040,"Trüllikon",760,456,60,451,296,155,65.6
75601020041,"Truttikon",335,247,73.7,244,157,87,64.3
